IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150467944,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:59,TENDERLOIN,NONE,TAYLOR ST / OFARRELL ST,-122.411328369311,37.7859963050476,"(37.7859963050476, -122.411328369311)",15046794406244
150468629,VEHICLE THEFT,STOLEN TRUCK,Thursday,05/28/2015,23:59,MISSION,NONE,100 Block of PORTOLA DR,-122.444276468858,37.7484965077695,"(37.7484965077695, -122.444276468858)",15046862907025
156133410,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,23:55,NORTHERN,NONE,1300 Block of POLK ST,-122.420422400634,37.7889233553137,"(37.7889233553137, -122.420422400634)",15613341006372
150478769,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,23:50,CENTRAL,NONE,500 Block of UNION ST,-122.407974943839,37.8006466385111,"(37.8006466385111, -122.407974943839)",15047876907021
156131458,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:30,BAYVIEW,NONE,BACON ST / GOETTINGEN ST,-122.406566957339,37.7268581085141,"(37.7268581085141, -122.406566957339)",15613145806244
150468077,NON-CRIMINAL,AIDED CASE,Thursday,05/28/2015,23:30,MISSION,NONE,200 Block of SOUTH VAN NESS AV,-122.417680776476,37.7695032506114,"(37.7695032506114, -122.417680776476)",15046807751040
156128665,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,23:30,NORTHERN,NONE,GOUGH ST / PACIFIC AV,-122.426515938127,37.7943964025931,"(37.7943964025931, -122.426515938127)",15612866506244
150467079,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Thursday,05/28/2015,23:15,MISSION,NONE,1200 Block of YORK ST,-122.40818042923,37.7520351527768,"(37.7520351527768, -122.40818042923)",15046707903012
150467079,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,05/28/2015,23:15,MISSION,NONE,1200 Block of YORK ST,-122.40818042923,37.7520351527768,"(37.7520351527768, -122.40818042923)",15046707904012
150469291,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Thursday,05/28/2015,23:00,MISSION,NONE,MISSION ST / 24TH ST,-122.418448186101,37.7522391652625,"(37.7522391652625, -122.418448186101)",15046929103474
150467035,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,22:55,SOUTHERN,"ARREST, BOOKED",KING ST / 2ND ST,-122.389595283252,37.7798611974198,"(37.7798611974198, -122.389595283252)",15046703530200
150467057,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,22:55,MISSION,"ARREST, BOOKED",CASTRO ST / MARKET ST,-122.435187699349,37.7626702770872,"(37.7626702770872, -122.435187699349)",15046705765016
150467057,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,05/28/2015,22:55,MISSION,"ARREST, BOOKED",CASTRO ST / MARKET ST,-122.435187699349,37.7626702770872,"(37.7626702770872, -122.435187699349)",15046705765050
150467035,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,22:55,SOUTHERN,"ARREST, BOOKED",KING ST / 2ND ST,-122.389595283252,37.7798611974198,"(37.7798611974198, -122.389595283252)",15046703530000
150467029,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,05/28/2015,22:52,INGLESIDE,NONE,900 Block of PARIS ST,-122.439616254096,37.7153102013802,"(37.7153102013802, -122.439616254096)",15046702903074
156129049,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,22:45,PARK,NONE,600 Block of BAKER ST,-122.441516753576,37.7769218703162,"(37.7769218703162, -122.441516753576)",15612904906374
150466996,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,05/28/2015,22:45,INGLESIDE,"ARREST, BOOKED",MISSION ST / 29TH ST,-122.420896598735,37.7440381549154,"(37.7440381549154, -122.420896598735)",15046699665016
156131436,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:30,BAYVIEW,NONE,200 Block of WILLIAMS AV,-122.397744427103,37.7299346936044,"(37.7299346936044, -122.397744427103)",15613143606244
156128552,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,22:30,RICHMOND,NONE,600 Block of 42ND AV,-122.502806579703,37.7763822984664,"(37.7763822984664, -122.502806579703)",15612855228150
150467994,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:30,SOUTHERN,NONE,HARRISON ST / 4TH ST,-122.399617558782,37.7807906550067,"(37.7807906550067, -122.399617558782)",15046799406243
156127855,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:20,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044,"(37.7830295716044, -122.431046366089)",15612785506244
150468914,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,22:15,TARAVAL,NONE,IRVING ST / 35TH AV,-122.494269696364,37.762803431969,"(37.762803431969, -122.494269696364)",15046891471000
150466899,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,22:07,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.392082305321,37.7818457722573,"(37.7818457722573, -122.392082305321)",15046689930200
150466899,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,22:07,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.392082305321,37.7818457722573,"(37.7818457722573, -122.392082305321)",15046689930000
150466924,ASSAULT,BATTERY,Thursday,05/28/2015,22:00,MISSION,NONE,2800 Block of MISSION ST,-122.418434028318,37.7514199300011,"(37.7514199300011, -122.418434028318)",15046692404134
150467762,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Thursday,05/28/2015,22:00,BAYVIEW,NONE,900 Block of VERMONT ST,-122.403442888647,37.7577060629957,"(37.7577060629957, -122.403442888647)",15046776207020
150467762,VEHICLE THEFT,STOLEN TRUCK,Thursday,05/28/2015,22:00,BAYVIEW,NONE,900 Block of VERMONT ST,-122.403442888647,37.7577060629957,"(37.7577060629957, -122.403442888647)",15046776207025
150468061,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,05/28/2015,22:00,TARAVAL,NONE,0 Block of LAKEVIEW AV,-122.450812856137,37.7163344598525,"(37.7163344598525, -122.450812856137)",15046806105041
150467621,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,22:00,BAYVIEW,NONE,1100 Block of DEHARO ST,-122.400677469279,37.755898750597,"(37.755898750597, -122.400677469279)",15046762107021
156128643,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,22:00,NORTHERN,NONE,800 Block of OFARRELL ST,-122.418729600557,37.785007503993,"(37.785007503993, -122.418729600557)",15612864306372
156129685,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,05/28/2015,22:00,TARAVAL,NONE,2700 Block of 36TH AV,-122.493403241013,37.7357663349494,"(37.7357663349494, -122.493403241013)",15612968506224
150467825,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,22:00,PARK,NONE,100 Block of DEVONSHIRE WY,-122.459945163373,37.7554535973183,"(37.7554535973183, -122.459945163373)",15046782507021
156131442,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:00,BAYVIEW,NONE,400 Block of MISSOURI ST,-122.396274357968,37.7606549517992,"(37.7606549517992, -122.396274357968)",15613144206244
156128637,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,22:00,NORTHERN,NONE,CALIFORNIA ST / BUCHANAN ST,-122.430551779801,37.7893227716214,"(37.7893227716214, -122.430551779801)",15612863706244
150466968,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,05/28/2015,21:56,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.410791677645,37.7836952269749,"(37.7836952269749, -122.410791677645)",15046696803014
150466968,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Thursday,05/28/2015,21:56,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.410791677645,37.7836952269749,"(37.7836952269749, -122.410791677645)",15046696804144
150467007,NON-CRIMINAL,LOST PROPERTY,Thursday,05/28/2015,21:50,NORTHERN,NONE,200 Block of FILLMORE ST,-122.430326792907,37.7718880239667,"(37.7718880239667, -122.430326792907)",15046700771000
150466805,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,05/28/2015,21:50,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.392082305321,37.7818457722573,"(37.7818457722573, -122.392082305321)",15046680530200
150466805,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Thursday,05/28/2015,21:50,SOUTHERN,"ARREST, BOOKED",BRANNAN ST / 2ND ST,-122.392082305321,37.7818457722573,"(37.7818457722573, -122.392082305321)",15046680530000
150467477,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:45,INGLESIDE,NONE,0 Block of REGENT ST,-122.456407784485,37.709691756097,"(37.709691756097, -122.456407784485)",15046747707021
156130933,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,21:45,NORTHERN,NONE,300 Block of GROVE ST,-122.422348143857,37.7778617759699,"(37.7778617759699, -122.422348143857)",15613093306374
150466930,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,05/28/2015,21:45,BAYVIEW,"ARREST, BOOKED",QUESADA AV / 3RD ST,-122.391245623019,37.7332252032804,"(37.7332252032804, -122.391245623019)",15046693016010
150469843,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",15046984307021
156132791,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,05/28/2015,21:30,INGLESIDE,NONE,4100 Block of MISSION ST,-122.429801668764,37.7303819548591,"(37.7303819548591, -122.429801668764)",15613279106372
156131618,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,21:30,BAYVIEW,NONE,20TH ST / TENNESSEE ST,-122.389488719233,37.7604368265074,"(37.7604368265074, -122.389488719233)",15613161806244
150468823,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:15,INGLESIDE,NONE,0 Block of HOLLYPARK CR,-122.420050289878,37.7382741750777,"(37.7382741750777, -122.420050289878)",15046882307021
150464100,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Thursday,05/28/2015,21:10,INGLESIDE,"ARREST, BOOKED",900 Block of GENEVA AV,-122.439909766772,37.715765426995,"(37.715765426995, -122.439909766772)",15046410068060
150466742,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,05/28/2015,21:09,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,"(37.7867342184983, -122.405895369887)",15046674206362
150466833,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,05/28/2015,21:07,NORTHERN,NONE,2100 Block of CHESTNUT ST,-122.43872325496,37.8005583558889,"(37.8005583558889, -122.43872325496)",15046683364020
150469445,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,21:00,BAYVIEW,NONE,1500 Block of YOSEMITE AV,-122.390712980282,37.7263758128285,"(37.7263758128285, -122.390712980282)",15046944506244
150469445,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,05/28/2015,21:00,BAYVIEW,NONE,1500 Block of YOSEMITE AV,-122.390712980282,37.7263758128285,"(37.7263758128285, -122.390712980282)",15046944506374
150469445,TRESPASS,TRESPASSING,Thursday,05/28/2015,21:00,BAYVIEW,NONE,1500 Block of YOSEMITE AV,-122.390712980282,37.7263758128285,"(37.7263758128285, -122.390712980282)",15046944527195
150467728,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,21:00,NORTHERN,NONE,FRANCISCO ST / VANNESS AV,-122.424923476878,37.8032042719901,"(37.8032042719901, -122.424923476878)",15046772807021
150467687,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/28/2015,21:00,BAYVIEW,NONE,JENNINGS ST / HOLLISTER AV,-122.394304218721,37.7207846959676,"(37.7207846959676, -122.394304218721)",15046768706243
156128621,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,05/28/2015,21:00,NORTHERN,NONE,HOLLIS ST / ELLIS ST,-122.43005356191,37.7826724016215,"(37.7826724016215, -122.43005356191)",15612862128150
150466695,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,05/28/2015,20:45,NORTHERN,NONE,1300 Block of POLK ST,-122.420379009339,37.7894014789877,"(37.7894014789877, -122.420379009339)",15046669528100
150466855,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:40,MISSION,NONE,600 Block of ALABAMA ST,-122.412056242405,37.7609899089142,"(37.7609899089142, -122.412056242405)",15046685506244
150467182,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,05/28/2015,20:30,SOUTHERN,NONE,BRYANT ST / BEALE ST,-122.389639531543,37.7862250418081,"(37.7862250418081, -122.389639531543)",15046718207021
156128706,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:30,NORTHERN,NONE,FRANKLIN ST / MCALLISTER ST,-122.421893134467,37.779891233614,"(37.779891233614, -122.421893134467)",15612870606244
156131420,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,05/28/2015,20:25,BAYVIEW,NONE,24TH ST / ILLINOIS ST,-122.386942103872,37.7541679837666,"(37.7541679837666, -122.386942103872)",15613142006244
